term	en_term	cat
مال	money	CURRENCY
دقة	currency	CURRENCY
السيولة النقدية	cash	CURRENCY
أفغاني	afghani	CURRENCY
بساطة بالغة	austral	CURRENCY
باهت	baht	CURRENCY
بالبوا	balboa	CURRENCY
بر	birr	CURRENCY
بيتكوين	bitcoin	CURRENCY
بوليفار	bolivar	CURRENCY
سيدي	cedi	CURRENCY
الجديد في تايوان دولار	dalasi	CURRENCY
دينار	dinar	CURRENCY
درهم	dirham	CURRENCY
دولار	dollar	CURRENCY
دونغ	dong	CURRENCY
دوبرا	dobra	CURRENCY
اليورو	euro	CURRENCY
اليورو دولار	eurodollar	CURRENCY
الاسكودو	escudo	CURRENCY
كونتو	conto	CURRENCY
الفورنت	forint	CURRENCY
غورد	gourde	CURRENCY
غواراني	guarani	CURRENCY
الغيلدر	guilder	CURRENCY
قولدن	gulden	CURRENCY
فلورين	florin	CURRENCY
INTI	inti	CURRENCY
كينا	kina	CURRENCY
سرير	kip	CURRENCY
كورونا	koruna	CURRENCY
الكرونا	krona	CURRENCY
الكرونة	krone	CURRENCY
كرونر	kroner	CURRENCY
كرون	kroon	CURRENCY
كواتشا	kwacha	CURRENCY
كواي	kwai	CURRENCY
كوانزا	kwanza	CURRENCY
كيات	kyat	CURRENCY
ليك	lek	CURRENCY
هندوراسي	lempira	CURRENCY
ليون	leone	CURRENCY
بادئة معناها أبيض	leu	CURRENCY
ليف	lev	CURRENCY
يلانجيني	lilangeni	CURRENCY
الليرة	lira	CURRENCY
لوتي	loti	CURRENCY
ميتيكال	metical	CURRENCY
نايرا	naira	CURRENCY
بوتاني	ngultrum	CURRENCY
أوقية	ouguiya	CURRENCY
Pa'anga سعر	pa'anga	CURRENCY
باتاكا	pataca	CURRENCY
البوليفي	boliviano	CURRENCY
قرطبة	cordoba	CURRENCY
بيزو	peso	CURRENCY
جنيه	pound	CURRENCY
بولا	pula	CURRENCY
جواتيمالي	quetzal	CURRENCY
راند	rand	CURRENCY
ريال عملة نقدية	rial	CURRENCY
رييل	riel	CURRENCY
رنجيت	ringgit	CURRENCY
الريال	riyal	CURRENCY
روبل	ruble	CURRENCY
روبل	rouble	CURRENCY
درهم	dram	CURRENCY
مانات	manat	CURRENCY
روبل	rubel	CURRENCY
لاري	lari	CURRENCY
تنغي	tenge	CURRENCY
لاتس	lats	CURRENCY
ليتاس	litas	CURRENCY
سوم	som	CURRENCY
hryvina	hryvina	CURRENCY
روبية	rupee	CURRENCY
روبية	rupiah	CURRENCY
الرنمينبي	renminbi	CURRENCY
شيكل	shekel	CURRENCY
شلن	shilling	CURRENCY
سوكري	sucre	CURRENCY
تاكا	taka	CURRENCY
تالا	tala	CURRENCY
tical	tical	CURRENCY
التوغريك	tugrik	CURRENCY
tughrik	tughrik	CURRENCY
وون	won	CURRENCY
ين	yen	CURRENCY
يوان	yuan	CURRENCY
الزلوتي	zloty	CURRENCY
معقل	stronghold	STRONGHOLD
معقل	bastion	STRONGHOLD
قلعة	citadel	STRONGHOLD
المعقل	blockhouse	STRONGHOLD
معقل	redoubt	STRONGHOLD
حصن	fort	STRONGHOLD
المحطة	outpost	STRONGHOLD
مقر	headquarters	STRONGHOLD
سيارة	car	CAR
